INDEX,TECHNIQUE,TECHNIQUE NAME,TACTICS,PLATFORMS,DATASOURCES,ADVERSARIES,MALWARE,TOOLS
482,T1574.009,Path Interception by Unquoted Path,3,1,3,0,0,2
483,T1574.010,Services File Permissions Weakness,3,1,4,0,1,0
484,T1574.011,Services Registry Permissions Weakness,3,1,4,0,0,0
485,T1574.012,COR_PROFILER,3,1,4,1,1,0
486,T1574.013,KernelCallbackTable,3,1,1,1,1,0
487,T1578,Modify Cloud Compute Infrastructure,1,1,14,0,0,0
488,T1578.001,Create Snapshot,1,1,2,0,0,0
489,T1578.002,Create Cloud Instance,1,1,2,1,0,0
490,T1578.003,Delete Cloud Instance,1,1,2,1,0,0
491,T1578.004,Revert Cloud Instance,1,1,4,0,0,0
492,T1580,Cloud Infrastructure Discovery,1,1,4,0,0,0
493,T1583,Acquire Infrastructure,1,1,5,0,0,0
494,T1583.001,Domains,1,1,3,27,0,0
495,T1583.002,DNS Server,1,1,0,2,0,0
496,T1583.003,Virtual Private Server,1,1,2,5,0,0
497,T1583.004,Server,1,1,2,4,0,0
498,T1583.005,Botnet,1,1,0,0,0,0
499,T1583.006,Web Services,1,1,1,16,0,0
500,T1583.007,Serverless,1,1,1,0,0,0
501,T1583.008,Malvertising,1,1,1,0,0,0
502,T1584,Compromise Infrastructure,1,1,5,0,0,0
503,T1584.001,Domains,1,1,3,5,0,0
504,T1584.002,DNS Server,1,1,2,0,0,0
505,T1584.003,Virtual Private Server,1,1,2,1,0,0
506,T1584.004,Server,1,1,2,6,0,0
507,T1584.005,Botnet,1,1,0,2,0,0
508,T1584.006,Web Services,1,1,1,2,0,0
509,T1584.007,Serverless,1,1,1,0,0,0
510,T1585,Establish Accounts,1,1,2,2,0,0
511,T1585.001,Social Media Accounts,1,1,2,11,0,0
512,T1585.002,Email Accounts,1,1,0,10,0,0
513,T1585.003,Cloud Accounts,1,1,0,0,0,0
514,T1586,Compromise Accounts,1,1,2,0,0,0
515,T1586.001,Social Media Accounts,1,1,2,1,0,0
516,T1586.002,Email Accounts,1,1,0,8,0,0
517,T1586.003,Cloud Accounts,1,1,0,1,0,0
518,T1587,Develop Capabilities,1,1,3,1,0,0
519,T1587.001,Malware,1,1,2,12,0,0
520,T1587.002,Code Signing Certificates,1,1,1,2,0,0
521,T1587.003,Digital Certificates,1,1,1,2,0,0
522,T1587.004,Exploits,1,1,0,0,0,0
523,T1588,Obtain Capabilities,1,1,4,0,0,0
524,T1588.001,Malware,1,1,2,11,0,0
525,T1588.002,Tool,1,1,1,61,0,0
526,T1588.003,Code Signing Certificates,1,1,1,4,1,0
527,T1588.004,Digital Certificates,1,1,2,4,0,0
528,T1588.005,Exploits,1,1,0,1,0,0
529,T1588.006,Vulnerabilities,1,1,0,1,0,0
530,T1589,Gather Victim Identity Information,1,1,1,4,0,0
531,T1589.001,Credentials,1,1,0,5,0,0
532,T1589.002,Email Addresses,1,1,1,12,0,1
533,T1589.003,Employee Names,1,1,0,3,0,0
534,T1590,Gather Victim Network Information,1,1,0,1,0,0
535,T1590.001,Domain Properties,1,1,0,1,0,1
536,T1590.002,DNS,1,1,0,0,0,0
537,T1590.003,Network Trust Dependencies,1,1,0,0,0,0
538,T1590.004,Network Topology,1,1,0,0,0,0
539,T1590.005,IP Addresses,1,1,0,3,0,0
540,T1590.006,Network Security Appliances,1,1,0,0,0,0
541,T1591,Gather Victim Org Information,1,1,0,2,0,0
542,T1591.001,Determine Physical Locations,1,1,0,1,0,0
543,T1591.002,Business Relationships,1,1,0,3,0,0
544,T1591.003,Identify Business Tempo,1,1,0,0,0,0
545,T1591.004,Identify Roles,1,1,0,2,0,0
546,T1592,Gather Victim Host Information,1,1,1,0,0,0
547,T1592.001,Hardware,1,1,1,0,0,0
548,T1592.002,Software,1,1,1,3,0,0
549,T1592.003,Firmware,1,1,0,0,0,0
550,T1592.004,Client Configurations,1,1,1,1,0,0
551,T1593,Search Open Websites/Domains,1,1,0,1,0,0
552,T1593.001,Social Media,1,1,0,2,0,0
553,T1593.002,Search Engines,1,1,0,1,0,0
554,T1593.003,Code Repositories,1,1,0,1,0,0
555,T1594,Search Victim-Owned Websites,1,1,1,4,0,0
556,T1595,Active Scanning,1,1,2,0,0,0
557,T1595.001,Scanning IP Blocks,1,1,1,1,0,0
558,T1595.002,Vulnerability Scanning,1,1,2,9,0,0
559,T1595.003,Wordlist Scanning,1,1,1,1,0,0
560,T1596,Search Open Technical Databases,1,1,0,0,0,0
561,T1596.001,DNS/Passive DNS,1,1,0,0,0,0
562,T1596.002,WHOIS,1,1,0,0,0,0
563,T1596.003,Digital Certificates,1,1,0,0,0,0
564,T1596.004,CDNs,1,1,0,0,0,0
565,T1596.005,Scan Databases,1,1,0,0,0,0
566,T1597,Search Closed Sources,1,1,0,1,0,0
567,T1597.001,Threat Intel Vendors,1,1,0,0,0,0
568,T1597.002,Purchase Technical Data,1,1,0,1,0,0
569,T1598,Phishing for Information,1,1,3,2,0,0
570,T1598.001,Spearphishing Service,1,1,3,0,0,0
571,T1598.002,Spearphishing Attachment,1,1,3,3,1,0
572,T1598.003,Spearphishing Link,1,1,3,11,1,1
573,T1599,Network Boundary Bridging,1,1,2,0,0,0
574,T1599.001,Network Address Translation Traversal,1,1,2,0,0,0
575,T1600,Weaken Encryption,1,1,1,0,0,0
576,T1600.001,Reduce Key Space,1,1,1,0,0,0
577,T1600.002,Disable Crypto Hardware,1,1,1,0,0,0
578,T1601,Modify System Image,1,1,1,0,0,0
579,T1601.001,Patch System Image,1,1,1,0,1,0
580,T1601.002,Downgrade System Image,1,1,1,0,0,0
581,T1602,Data from Configuration Repository,1,1,2,0,0,0
582,T1602.001,SNMP (MIB Dump),1,1,2,0,0,0
583,T1602.002,Network Device Configuration Dump,1,1,2,0,0,0
584,T1606,Forge Web Credentials,1,8,3,0,0,0
585,T1606.001,Web Cookies,1,5,2,0,0,0
586,T1606.002,SAML Tokens,1,6,5,0,0,1
587,T1608,Stage Capabilities,1,1,1,1,0,0
588,T1608.001,Upload Malware,1,1,1,14,0,0
589,T1608.002,Upload Tool,1,1,1,1,0,0
590,T1608.003,Install Digital Certificate,1,1,1,0,0,0
591,T1608.004,Drive-by Target,1,1,1,5,0,0
592,T1608.005,Link Target,1,1,1,2,0,0
593,T1608.006,SEO Poisoning,1,1,1,0,0,0
594,T1609,Container Administration Command,1,1,2,1,3,1
595,T1610,Deploy Container,2,1,5,1,2,1
596,T1611,Escape to Host,1,3,5,1,3,1
597,T1612,Build Image on Host,1,1,4,0,0,0
598,T1613,Container and Resource Discovery,1,1,2,1,1,1
599,T1614,System Location Discovery,1,4,3,1,7,1
600,T1614.001,System Language Discovery,1,3,4,1,20,0
601,T1615,Group Policy Discovery,1,1,5,1,1,2
602,T1619,Cloud Storage Object Discovery,1,1,2,0,0,1
603,T1620,Reflective Code Loading,1,3,3,1,9,3
604,T1621,Multi-Factor Authentication Request Generation,1,8,4,2,0,0
605,T1622,Debugger Evasion,2,3,4,0,8,0
606,T1647,Plist File Modification,1,1,3,0,1,0
607,T1648,Serverless Execution,1,3,2,0,0,0
608,T1649,Steal or Forge Authentication Certificates,1,4,7,1,0,2
609,T1650,Acquire Access,1,1,0,0,0,0
610,T1651,Cloud Administration Command,1,2,3,1,0,1
611,T1652,Device Driver Discovery,1,3,4,0,2,0
